num_fields is_string time(ns)

(did these with slow toString)
1 false 51634354
1 true 2114657
100 false 59694980
100 true 1778663
1000 false 82634301
1000 true 10439345
10000 false 313846047
10000 true 462376406
50000 false 895983826
50000 true 7675815171
60000 false 1033683958
60000 true 11374113753

(did these with fast toString)

1 true 1401104
10 true 1928033
100 true 2350011
1000 true 3648933
10000 true 29695695
50000 true 52280068
60000 true 56028460
